defects,arearatio,distance,label
4,50.56291941656037,31.910970952230425,ok
4,41.43236589790101,4.115966043420213,ok
3,50.57806798540426,28.872858463199705,ok
4,41.21363623877153,25.821077704500187,ok
3,48.53964363156406,22.890299047471597,ok
4,49.30164466308806,41.01416667122162,ok
4,55.92468245955908,43.83699189471125,ok
3,53.7242239671241,56.72271892601173,ok
3,50.6866939947937,9.600000000000046,ok
3,44.548451256658836,20.713562547777435,ok
3,51.255767770574145,36.74927895207874,peace
2,44.57737766195478,3.137858162210944,peace
2,37.6414659823661,7.746218589674862,peace
2,32.119982920580696,36.770999741893725,peace
3,46.56294623584498,6.0737339341165635,peace
2,46.68256417449852,15.09349480416593,peace
2,53.45886985377006,7.071067811865476,peace
2,39.87099314083249,44.52898414784766,peace
4,63.79475501093459,18.961376989768087,rockon
5,70.56057264139164,19.32712729189,rockon
3,61.441699933466396,5.926541470816663,rockon
4,65.52765997805086,9.423764611318601,rockon
3,69.97431946584489,2.683281572999747,rockon
3,67.32493572153922,19.573088658883293,rockon
3,78.05663105845035,31.667727980431234,rockon
3,57.181084400772065,79.67175305774389,rockon
3,55.22130235057773,4.81663783151692,rockon
3,46.099278942448926,6.034305596893254,rockon
3,72.38657944714075,27.478426223532367,rockon
1,47.13617675673979,33.34455199921185,shaka
1,48.569266749208964,34.50590534340313,shaka
3,38.041604605626496,13.704208363384035,shaka
3,38.72752805083214,6.972426469901783,shaka
1,38.756541944450476,25.73178427569028,shaka
1,50.664206642066425,42.094144848989245,shaka
2,36.03201654443444,23.872370944351644,shaka
1,46.70926808536474,5.366563145999496,shaka
1,51.69143563097271,4.847901187395095,shaka
2,46.872541306058224,9.934599894894259,shaka
1,48.99685762629925,19.288504693894556,shaka
2,52.308446599297255,27.849559466859713,shaka
1,43.358359803638464,7.838858744869574,thumbsup
1,36.40493082084042,11.279351226629506,thumbsup
1,24.950814511686474,15.3625395885234,thumbsup
1,33.7900434590262,3.5970073030870435,thumbsup
1,35.5861114127484,19.55413620081063,thumbsup
3,37.57685783949963,15.114407436893243,thumbsup
1,50.814584949573316,3.000000000000005,thumbsup
1,28.18245918533384,1.9999999999999891,thumbsup
1,33.464613352828806,8.30676183982725,thumbsup
2,34.83583750695603,8.896096927335071,thumbsup
1,25.59337171959029,5.000000000000011,thumbsup
