defects,arearatio,distance,label
4,50.56291941656037,146.8415082018535,ok
4,41.43236589790101,74.91402889843614,ok
3,49.1502693443325,52.907137271839744,ok
2,49.51315026679129,434.06291899569146,ok
1,36.11618257261411,0,ok
3,55.27821873172362,98.63897120429303,ok
4,62.63122171945701,40.55438736009953,ok
4,65.14667234888842,102.63808329304743,ok
1,43.53829928135194,0,ok
3,61.70705713358973,46.42718171609957,ok
3,61.72278506158124,40.14784294506971,ok
2,55.42902272495669,49.675623100235526,ok
3,50.57806798540426,104.70547048655263,ok
2,52.552219152616765,46.656539750390394,ok
2,49.96720795403867,325.97622612699985,ok
1,43.3344545352618,0,ok
3,54.69991647774729,128.4776309741896,ok
1,54.439845734173645,0,ok
3,57.65319364809702,40.36509089956617,ok
3,47.267211430249056,36.587763964944315,ok
2,53.35052766078273,42.63235277247965,ok
1,57.76366726465867,0,ok
3,55.26548476944162,133.2902951550362,ok
4,41.21363623877153,85.2019119407154,ok
2,54.3129573508759,38.939017178448786,ok
3,54.646541003194415,39.20387362651158,ok
15,53.51653580775636,227.9480125364727,ok
2,54.83201713291393,43.103958281255274,ok
1,55.32892127184284,0,ok
2,57.74530429673433,40.36142946865004,ok
1,54.09968836382203,0,ok
3,64.01679178564,37.82017833709315,ok
2,58.0015306789121,307.23574010846085,ok
2,50.469557051181724,324.5620125646277,ok
3,48.53964363156406,85.4382656510338,ok
2,52.141005940230734,39.15672225300807,ok
3,52.083178611214265,102.62827475316679,ok
6,56.178576077053236,133.21263418743592,ok
4,54.06992119320887,41.7502601675022,ok
2,42.73803958235936,39.37580826778262,ok
1,43.530526600785166,0,ok
3,44.775153671950825,101.30004494222872,ok
1,46.3363205060622,0,ok
2,47.703970878001535,144.249783362052,ok
2,39.65912926088424,35.57320791625201,ok
4,49.30164466308806,82.9544390721665,ok
3,38.41151881096145,74.93288888647108,ok
1,42.68683540512206,0,ok
2,42.70830232488911,186.48806932348376,ok
2,41.767731878409975,143.54267658086744,ok
3,48.53068031514176,34.82918261695417,ok
3,48.56763696160171,34.7802277463595,ok
2,48.54184094383708,38.570948299702664,ok
2,47.058223717752625,228.9733608959764,ok
1,45.23382191644232,0,ok
2,50.86926486673191,42.25775707236348,ok
4,55.92468245955908,174.86810926353098,ok
2,51.827012025901944,40.37805428576902,ok
2,51.96055342949661,31.44036180397681,ok
5,52.5124641184469,91.67848983126841,ok
2,49.211565808184545,42.349104605465364,ok
3,53.7242239671241,87.11350751683835,ok
3,50.6866939947937,59.59696448346011,ok
3,44.548451256658836,100.89296671483453,ok
3,51.255767770574145,212.0327441783409,peace
2,44.57737766195478,104.21521139775093,peace
2,32.15241822604536,124.59999999999995,peace
2,32.93709821370827,139.60657281898574,peace
2,56.98036799013998,117.38910107786462,peace
2,39.64538748526499,133.9260243567321,peace
2,74.9735113371477,101.00919102629264,peace
2,56.717270491644555,122.46468942561683,peace
2,51.03887971765242,129.3027718873836,peace
2,39.17616730310591,108.70005438797739,peace
3,33.47603891155242,271.9516292807448,peace
2,40.51690264028494,124.79412776906561,peace
2,37.6414659823661,121.10434967863245,peace
2,46.42939963140615,142.9979325724024,peace
3,47.30322111891499,227.9906710859785,peace
2,50.76866378856481,155.581803042656,peace
2,55.87343620457105,133.32729675244698,peace
2,38.37351899835829,151.329722212468,peace
2,45.880426102139985,142.19938975431413,peace
2,53.067892403072456,161.54573628242878,peace
2,60.16821330879157,60.00000000000002,peace
3,58.35031337855614,168.9529330319853,peace
2,62.945051497882574,65.99999999999997,peace
2,32.119982920580696,115.92392110447416,peace
2,56.07388608356663,58.000000000000014,peace
2,55.470264402574244,58.00000000000002,peace
2,56.407742584213175,65.0,peace
4,61.20507675067108,190.3686747747178,peace
3,60.660367669713466,183.79572490807638,peace
2,56.189284858808186,54.91402569781797,peace
3,54.33951839403287,136.07920660674392,peace
2,53.92349865582863,59.14384405458642,peace
2,79.4532332839459,66.01530487557943,peace
2,81.62435588332625,66.23864556427097,peace
3,46.56294623584498,227.56579578148182,peace
2,82.77751423149905,65.67072908306912,peace
3,83.74230925761891,170.50174655723242,peace
5,75.24397128800709,136.87674848433704,peace
3,74.83338551684037,179.33246351755716,peace
3,74.35619942445335,134.6480004208058,peace
4,83.98504297863609,84.09996367355438,peace
3,95.08162066940693,48.85705051803263,peace
2,79.31799163179917,60.92855253676636,peace
2,92.46226392739509,65.49033986310211,peace
2,57.88915063812162,50.34989930030213,peace
2,46.68256417449852,119.77167058854593,peace
2,57.688669329409294,41.96714642801371,peace
21,61.27087851730839,198.22993464689904,peace
2,61.57408781878099,35.354144487258345,peace
17,62.915084674260235,200.9273566160157,peace
3,60.78086051804487,166.64487283607428,peace
3,62.77565502183406,181.19849706860623,peace
2,65.78752702856492,57.0185914213491,peace
2,53.25638452102153,58.10985001171295,peace
2,40.359200271094544,59.830516085203826,peace
3,47.26502633265528,92.14419865581412,peace
2,53.45886985377006,117.93890435391688,peace
2,65.82087385687328,59.99697199354877,peace
2,72.33801728183751,55.87835219387235,peace
2,67.64409538326402,41.87936222250002,peace
12,66.34658624976854,204.77295031182993,peace
2,66.95108984582669,44.54754658530878,peace
2,76.84281212872565,55.63123891309501,peace
2,59.87891833714516,50.00000000000001,peace
2,39.87099314083249,127.5772140198439,peace
2,37.06289001396061,117.8731769095014,peace
2,37.38087259567053,205.33445502070944,peace
4,63.79475501093459,139.00140527644325,rockon
5,70.56057264139164,160.01583386370334,rockon
3,61.441699933466396,69.05366570238408,rockon
3,61.76399766084554,95.14692128577235,rockon
3,68.78490388572101,113.5595896960716,rockon
3,67.24996269618416,106.51403863610247,rockon
3,62.95075676346769,100.6603679696887,rockon
3,58.17969358608154,106.50173259624026,rockon
3,67.82749416784011,121.72017259497093,rockon
4,68.16971729137688,125.43574190090249,rockon
3,52.53412504611493,97.54657918112154,rockon
3,59.55366036369024,94.79427701307085,rockon
4,65.52765997805086,165.15163044190083,rockon
4,103.43963247992221,140.129019684308,rockon
3,77.81919725465129,142.3580372307478,rockon
3,62.724186927691825,130.5411553395067,rockon
3,64.6587439654028,122.02781721064473,rockon
3,75.86924746423351,48.60378808079233,rockon
3,79.79953911895653,50.32148202231282,rockon
3,80.43978690285665,52.81930784676105,rockon
3,85.39900676427776,51.399939181333096,rockon
